occupancy,time_of_change
2,2024-10-30 19:56:52
1,2024-10-30 19:56:53
2,2024-10-30 19:56:53
1,2024-10-30 19:56:53
2,2024-10-30 19:56:53
1,2024-10-30 19:56:54
2,2024-10-30 19:56:54
1,2024-10-30 19:56:55
2,2024-10-30 19:56:55
0,2024-10-30 19:56:57
2,2024-10-30 19:56:58
1,2024-10-30 19:57:03
2,2024-10-30 19:57:03
0,2024-10-30 19:57:08
1,2024-10-30 19:57:08
0,2024-10-30 19:57:08
2,2024-10-30 19:57:09
1,2024-10-30 19:57:09
2,2024-10-30 19:57:10
1,2024-10-30 19:57:14
2,2024-10-30 19:57:14
1,2024-10-30 19:57:14
2,2024-10-30 19:57:15
0,2024-10-30 19:57:15
2,2024-10-30 19:57:16
3,2024-10-30 19:57:39
2,2024-10-30 19:57:40
3,2024-10-30 19:57:40
1,2024-10-30 19:57:40
2,2024-10-30 19:57:41
1,2024-10-30 19:57:41
2,2024-10-30 19:57:45
1,2024-10-30 19:57:45
0,2024-10-30 19:57:46
1,2024-10-30 19:57:46
0,2024-10-30 19:57:46
1,2024-10-30 19:57:47
2,2024-10-30 19:57:47
1,2024-10-30 19:57:50
2,2024-10-30 19:57:51
1,2024-10-30 19:57:53
2,2024-10-30 19:57:53
1,2024-10-30 19:57:55
2,2024-10-30 19:57:57
1,2024-10-30 19:57:57
2,2024-10-30 19:57:59
1,2024-10-30 19:57:59
2,2024-10-30 19:57:59
1,2024-10-30 19:58:00
2,2024-10-30 19:58:01
1,2024-10-30 19:58:02
2,2024-10-30 19:58:02
1,2024-10-30 19:58:09
2,2024-10-30 19:58:09
1,2024-10-30 19:58:09
2,2024-10-30 19:58:09
1,2024-10-30 19:58:14
2,2024-10-30 19:58:14
1,2024-10-30 19:58:15
2,2024-10-30 19:58:15
1,2024-10-30 19:58:17
2,2024-10-30 19:58:17
1,2024-10-30 19:58:18
2,2024-10-30 19:58:18
1,2024-10-30 19:58:22
2,2024-10-30 19:58:22
1,2024-10-30 19:58:24
2,2024-10-30 19:58:24
1,2024-10-30 19:58:25
0,2024-10-30 19:58:25
1,2024-10-30 19:58:25
2,2024-10-30 19:58:26
1,2024-10-30 19:58:29
2,2024-10-30 19:58:30
1,2024-10-30 19:58:30
2,2024-10-30 19:58:31
1,2024-10-30 19:58:32
2,2024-10-30 19:58:34
1,2024-10-30 19:58:34
2,2024-10-30 19:58:37
0,2024-10-30 19:59:08
2,2024-10-30 19:59:09
1,2024-10-30 19:59:09
2,2024-10-30 19:59:10
1,2024-10-30 19:59:11
2,2024-10-30 19:59:11
1,2024-10-30 19:59:12
2,2024-10-30 19:59:12
0,2024-10-30 19:59:12
1,2024-10-30 19:59:13
2,2024-10-30 19:59:14
1,2024-10-30 19:59:14
2,2024-10-30 19:59:15
1,2024-10-30 19:59:15
2,2024-10-30 19:59:15
1,2024-10-30 19:59:15
2,2024-10-30 19:59:16
1,2024-10-30 19:59:16
2,2024-10-30 19:59:17
1,2024-10-30 19:59:17
2,2024-10-30 19:59:18
3,2024-10-30 19:59:21
2,2024-10-30 19:59:21
1,2024-10-30 19:59:22
2,2024-10-30 19:59:22
1,2024-10-30 19:59:23
2,2024-10-30 19:59:24
1,2024-10-30 19:59:24
2,2024-10-30 19:59:24
1,2024-10-30 19:59:27
2,2024-10-30 19:59:28
1,2024-10-30 19:59:29
2,2024-10-30 19:59:29
1,2024-10-30 19:59:30
2,2024-10-30 19:59:30
1,2024-10-30 19:59:34
2,2024-10-30 19:59:34
3,2024-10-30 20:00:01
2,2024-10-30 20:00:02
3,2024-10-30 20:00:03
2,2024-10-30 20:00:06
4,2024-10-30 20:00:06
3,2024-10-30 20:00:06
2,2024-10-30 20:00:07
3,2024-10-30 20:00:07
2,2024-10-30 20:00:08
3,2024-10-30 20:00:08
2,2024-10-30 20:00:09
0,2024-10-30 20:00:10
2,2024-10-30 20:00:10
1,2024-10-30 20:00:12
2,2024-10-30 20:00:12
1,2024-10-30 20:00:14
2,2024-10-30 20:00:14
1,2024-10-30 20:00:14
2,2024-10-30 20:00:15
0,2024-10-30 20:00:15
1,2024-10-30 20:00:16
0,2024-10-30 20:00:16
2,2024-10-30 20:00:16
1,2024-10-30 20:00:17
2,2024-10-30 20:00:20
1,2024-10-30 20:00:23
2,2024-10-30 20:00:23
0,2024-10-30 20:00:24
1,2024-10-30 20:00:24
0,2024-10-30 20:00:25
1,2024-10-30 20:00:25
2,2024-10-30 20:00:25
1,2024-10-30 20:00:26
2,2024-10-30 20:00:26
0,2024-10-30 20:00:27
2,2024-10-30 20:00:27
1,2024-10-30 20:00:28
0,2024-10-30 20:00:29
1,2024-10-30 20:00:29
0,2024-10-30 20:00:30
2,2024-10-30 20:00:30
0,2024-10-30 20:00:33
2,2024-10-30 20:00:34
0,2024-10-30 20:00:36
1,2024-10-30 20:00:37
0,2024-10-30 20:00:38
2,2024-10-30 20:00:39
1,2024-10-30 20:00:40
0,2024-10-30 20:00:41
2,2024-10-30 20:00:42
1,2024-10-30 20:00:42
2,2024-10-30 20:00:43
1,2024-10-30 20:00:43
0,2024-10-30 20:00:45
1,2024-10-30 20:00:47
0,2024-10-30 20:00:52
1,2024-10-30 20:00:58
2,2024-10-30 20:00:58
1,2024-10-30 20:01:00
0,2024-10-30 20:01:01
1,2024-10-30 20:01:02
2,2024-10-30 20:01:03
1,2024-10-30 20:01:03
2,2024-10-30 20:01:04
1,2024-10-30 20:01:05
0,2024-10-30 20:01:06
1,2024-10-30 20:01:14
2,2024-10-30 20:01:16
1,2024-10-30 20:01:18
0,2024-10-30 20:01:19
1,2024-10-30 20:01:21
0,2024-10-30 20:01:25
1,2024-10-30 20:01:26
2,2024-10-30 20:01:29
1,2024-10-30 20:01:31
2,2024-10-30 20:01:32
1,2024-10-30 20:01:33
2,2024-10-30 20:01:43
1,2024-10-30 20:01:43
0,2024-10-30 20:01:45
1,2024-10-30 20:01:50
0,2024-10-30 20:01:50
1,2024-10-30 20:01:51
0,2024-10-30 20:01:57
1,2024-10-30 20:01:57
0,2024-10-30 20:01:59
2,2024-10-30 20:02:00
0,2024-10-30 20:02:01
1,2024-10-30 20:02:01
2,2024-10-30 20:02:03
1,2024-10-30 20:02:10
0,2024-10-30 20:02:13
1,2024-10-30 20:02:14
2,2024-10-30 20:02:17
1,2024-10-30 20:02:19
0,2024-10-30 20:02:22
1,2024-10-30 20:02:23
0,2024-10-30 20:02:27
1,2024-10-30 20:02:32
0,2024-10-30 20:02:35
1,2024-10-30 20:02:37
0,2024-10-30 20:02:54
1,2024-10-30 20:02:58
0,2024-10-30 20:02:59
1,2024-10-30 20:02:59
0,2024-10-30 20:03:00
1,2024-10-30 20:03:12
0,2024-10-30 20:03:12
1,2024-10-30 20:03:30
0,2024-10-30 20:03:30
1,2024-10-30 20:03:39
0,2024-10-30 20:03:39
1,2024-10-30 20:03:48
0,2024-10-30 20:03:49
1,2024-10-30 20:03:52
0,2024-10-30 20:03:53
1,2024-10-30 20:03:57
0,2024-10-30 20:04:00
1,2024-10-30 20:04:00
0,2024-10-30 20:04:02
1,2024-10-30 20:04:10
0,2024-10-30 20:04:10
1,2024-10-30 20:04:11
0,2024-10-30 20:04:12
1,2024-10-30 20:04:37
0,2024-10-30 20:04:38
1,2024-10-30 20:04:40
0,2024-10-30 20:04:50
1,2024-10-30 20:04:51
0,2024-10-30 20:04:53
1,2024-10-30 20:04:54
0,2024-10-30 20:04:57
1,2024-10-30 20:05:02
0,2024-10-30 20:05:03
1,2024-10-30 20:05:04
0,2024-10-30 20:05:05
1,2024-10-30 20:05:06
0,2024-10-30 20:05:56
1,2024-10-30 20:05:57
0,2024-10-30 20:06:14
1,2024-10-30 20:06:15
0,2024-10-30 20:06:54
1,2024-10-30 20:06:56
0,2024-10-30 20:06:57
1,2024-10-30 20:07:01
0,2024-10-30 20:07:02
1,2024-10-30 20:07:04
0,2024-10-30 20:07:05
1,2024-10-30 20:07:05
0,2024-10-30 20:07:06
1,2024-10-30 20:07:06
0,2024-10-30 20:07:08
1,2024-10-30 20:07:12
0,2024-10-30 20:07:13
1,2024-10-30 20:07:15
0,2024-10-30 20:07:17
